iter	Passed	Remaining
0	130	130147
1	250	125107
2	384	127843
3	505	125939
4	625	124389
5	743	123157
6	869	123315
7	990	122820
8	1107	121911
9	1227	121553
10	1347	121109
11	1465	120664
12	1581	120042
13	1697	119577
14	1816	119258
15	1934	118962
16	2055	118874
17	2173	118591
18	2292	118375
19	2411	118156
20	2533	118125
21	2650	117814
22	2773	117799
23	2897	117835
24	3014	117573
25	3131	117326
26	3256	117360
27	3368	116932
28	3478	116482
29	3594	116234
30	3710	115982
31	3829	115844
32	3950	115749
33	4066	115534
34	4177	115186
35	4292	114943
36	4407	114718
37	4532	114749
38	4649	114562
39	4770	114484
40	4891	114422
41	5009	114255
42	5134	114270
43	5248	114034
44	5365	113875
45	5485	113771
46	5599	113530
47	5720	113452
48	5845	113456
49	5975	113530
50	6132	114112
51	6350	115775
52	6484	115857
53	6605	115720
54	6731	115662
55	6853	115530
56	6979	115462
57	7097	115280
58	7215	115076
59	7326	114780
60	7443	114574
61	7562	114413
62	7676	114165
63	7789	113914
64	7902	113673
65	8026	113584
66	8141	113380
67	8265	113282
68	8389	113203
69	8513	113113
70	8627	112887
71	8743	112697
72	8863	112551
73	8980	112375
74	9098	112218
75	9218	112075
76	9343	112004
77	9467	111910
78	9583	111722
79	9694	111488
80	9807	111267
81	9919	111052
82	10041	110942
83	10158	110774
84	10275	110609
85	10398	110512
86	10510	110299
87	10626	110127
88	10753	110072
89	10866	109867
90	10980	109681
91	11097	109530
92	11207	109306
93	11332	109228
94	11445	109030
95	11561	108866
96	11684	108772
97	11806	108671
98	11922	108510
99	12046	108419
100	12174	108368
101	12290	108207
102	12406	108043
103	12543	108066
104	12657	107888
105	12768	107686
106	12881	107506
107	12998	107354
108	13120	107247
109	13238	107114
110	13358	106985
111	13474	106833
112	13588	106665
113	13698	106465
114	13816	106330
115	13929	106154
116	14054	106071
117	14167	105896
118	14295	105836
119	14414	105706
120	14530	105553
121	14642	105379
122	14762	105260
123	14879	105114
124	15010	105073
125	15136	104997
126	15251	104839
127	15366	104684
128	15476	104498
129	15592	104349
130	15710	104218
131	15826	104069
132	15950	103977
133	16066	103835
134	16192	103749
135	16306	103594
136	16419	103432
137	16547	103361
138	16659	103191
139	16778	103067
140	16888	102890
141	17023	102862
142	17145	102754
143	17270	102664
144	17386	102517
145	17502	102378
146	17628	102293
147	17738	102118
148	17851	101956
149	17986	101925
150	18101	101777
151	18216	101629
152	18332	101488
153	18451	101364
154	18568	101228
155	18696	101154
156	18809	100994
157	18928	100870
158	19074	100891
159	19205	100826
160	19321	100687
161	19444	100581
162	19562	100452
163	19673	100285
164	19784	100123
165	19893	99947
166	20002	99774
167	20113	99610
168	20227	99460
169	20341	99313
170	20453	99159
171	20571	99029
172	20681	98862
173	20807	98776
174	20920	98627
175	21033	98476
176	21155	98367
177	21277	98259
178	21391	98114
179	21515	98016
180	21632	97884
181	21752	97766
182	21861	97599
183	21976	97462
184	22092	97325
185	22208	97194
186	22321	97043
187	22429	96878
188	22541	96726
189	22669	96642
190	22787	96517
191	22894	96347
192	23009	96210
193	23124	96073
194	23232	95910
195	23350	95784
196	23463	95638
197	23573	95484
198	23688	95348
199	23799	95196
200	23918	95078
201	24043	94982
202	24158	94847
203	24267	94691
204	24375	94530
205	24493	94405
206	24609	94275
207	24718	94122
208	24838	94004
209	24963	93908
210	25090	93822
211	25213	93717
212	25325	93572
213	25437	93430
214	25545	93271
215	25658	93131
216	25773	92997
217	25887	92862
218	26002	92730
219	26113	92585
220	26227	92448
221	26341	92313
222	26456	92182
223	26583	92092
224	26701	91970
225	26811	91823
226	26924	91686
227	27038	91550
228	27149	91408
229	27256	91248
230	27366	91103
231	27475	90953
232	27588	90817
233	27697	90666
234	27810	90533
235	27932	90425
236	28044	90285
237	28152	90136
238	28279	90044
239	28386	89889
240	28497	89748
241	28610	89613
242	28720	89470
243	28830	89326
244	28947	89205
245	29061	89074
246	29179	88957
247	29285	88801
248	29405	88688
249	29516	88549
250	29623	88397
251	29732	88252
252	29846	88123
253	29968	88016
254	30079	87880
255	30195	87756
256	30316	87645
257	30426	87506
258	30537	87367
259	30650	87234
260	30760	87096
261	30879	86981
262	31017	86920
263	31129	86784
264	31245	86662
265	31365	86549
266	31481	86425
267	31600	86313
268	31707	86164
269	31830	86059
270	31945	85934
271	32061	85811
272	32169	85668
273	32290	85558
274	32361	85315
275	32467	85167
276	32574	85023
277	32686	84890
278	32796	84752
279	32907	84620
280	33019	84487
281	33129	84352
282	33241	84218
283	33353	84088
284	33461	83946
285	33581	83837
286	33695	83709
